92.10 Gemeentecode,92.11 Omschrijving,92.12 Nieuwe code,99.98 Datum ingang,99.99 Datum einde
"0000","Onbekend","","",""
"0001","Adorp","0053","","19900101"
"0002","Aduard","0056","","19900101"
"0003","Appingedam","1979","","20210101"
"0004","Baflo","0053","","19900101"
"0005","Bedum","1966","","20190101"
"0006","Beerta","1661","","19910701"
"0007","Bellingwedde","1950","19680101","20180101"
"0008","Bierum","0010","","19900101"
"0009","Ten Boer","0014","","20190101"
"0010","Delfzijl","1979","","20210101"
"0011","Eenrum","0045","","19900101"
"0012","Ezinge","0053","","19900101"
"0013","Finsterwolde","0006","","19900101"
"0014","Groningen","","",""
"0015","Grootegast","1969","","20190101"
"0016","Grijpskerk","0056","","19900101"
"0017","Haren","0014","","20190101"
"0018","Hoogezand-Sappemeer","1952","19490401","20180101"
"0019","Hefshuizen","1651","19790101","19920101"
"0020","Kantens","0019","","19900101"
"0021","Kloosterburen","0045","","19900101"
"0022","Leek","1969","","20190101"
"0023","Leens","0045","","19900101"
"0024","Loppersum","1979","","20210101"
"0025","Marum","1969","","20190101"
"0026","Meeden","0033","","19900101"
"0027","Middelstum","0024","","19900101"
"0028","Midwolda","0039","","19900101"
"0029","Muntendam","0033","","19900101"
"0030","Nieuwe Pekela","0765","","19900101"
"0031","Nieuweschans","0006","","19900101"
"0032","Nieuwolda","0039","","19900101"
"0033","Oosterbroek","1987","19650701","19910201"
"0034","Almere","","19840101",""
"0035","Oldehove","0056","","19900101"
"0036","Oldekerk","0015","","19900101"
"0037","Stadskanaal","","19690101",""
"0038","Oude Pekela","0765","","19900101"
"0039","Scheemda","1895","","20100101"
"0040","Slochteren","1952","","20180101"
"0041","Stedum","0024","","19900101"
"0042","Termunten","0010","","19900101"
"0043","Uithuizen","0019","","19790101"
"0044","Uithuizermeeden","0019","","19790101"
"0045","Ulrum","1663","","19920101"
"0046","Usquert","0019","","19900101"
"0047","Veendam","","",""
"0048","Vlagtwedde","1950","","20180101"
"0049","Warffum","0019","","19900101"
"0050","Zeewolde","","19840101",""
"0051","Skarsterlân","1921","19850301","20140101"
"0052","Winschoten","1895","","20100101"
"0053","Winsum","1966","","20190101"
"0054","'t Zandt","0024","","19900101"
"0055","Boarnsterhim","0080","19850103","20140101"
"0056","Zuidhorn","1969","","20190101"
"0057","Boornsterhem","0055","19840101","19850103"
"0058","Dongeradeel","1970","19840101","20190101"
"0059","Achtkarspelen","","",""
"0060","Ameland","","",""
"0061","Baarderadeel","0103","","19840101"
"0062","Barradeel","0070","","19840101"
