94.10 Landcode,94.11 Omschrijving,99.98 Datum ingang,99.99 Datum einde,Fictieve datum einde
"0000","Onbekend","","",""
"5001","Canada","18670701","",""
"5002","Frankrijk","","",""
"5003","Zwitserland","","",""
"5004","Rhodesië","19651111","19790601",""
"5005","Malawi","19640706","",""
"5006","Cuba","","",""
"5007","Suriname","","",""
"5008","Tunesië","","",""
"5009","Oostenrijk","","",""
"5010","België","","",""
"5011","Botswana","19660930","",""
"5012","Iran","","",""
"5013","Nieuw-Zeeland","","",""
"5014","Zuid-Afrika","","",""
"5015","Denemarken","","",""
"5016","Noord-Jemen","","19900522",""
"5017","Hongarije","","",""
"5018","Saoedi-Arabië","","",""
"5019","Liberia","18470726","",""
"5020","Ethiopië","","",""
"5021","Chili","","",""
"5022","Marokko","","",""
"5023","Togo","","",""
"5024","Ghana","19570306","",""
"5025","Laos","","",""
"5026","Angola","","",""
"5027","Filipijnen","","",""
"5028","Zambia","19641024","",""
"5029","Mali","19600620","",""
"5030","Ivoorkust","","",""
"5031","Burma","","19890618",""
"5032","Monaco","","",""
"5033","Colombia","","",""
"5034","Albanië","","",""
"5035","Kameroen","19600101","",""
"5036","Zuid-Vietnam","","19760702",""
"5037","Singapore","","",""
"5038","Paraguay","","",""
"5039","Zweden","","",""
"5040","Cyprus","","",""
"5041","Australisch Nieuw-Guinea","","19750916",""
"5042","Brunei","","",""
"5043","Irak","","",""
"5044","Mauritius","","",""
"5045","Vaticaanstad","19290211","",""
"5046","Kashmir","","19910601","*"
"5047","Myanmar","19890618","",""
"5048","Jemen","19900522","",""
"5049","Slovenië","19920115","",""
"5050","Zaïre","19711027","19970715",""
"5051","Kroatië","19920115","",""
"5052","Taiwan","","",""
"5053","Rusland","19911231","",""
"5054","Armenië","19911231","",""
"5055","Ascension","","",""
"5056","Azoren","","",""
"5057","Bahrein","","",""
"5058","Bhutan","","",""
"5059","Britse Antillen","19620201","19811101",""
"5060","Comoren","","",""
"5061","Falklandeilanden","","",""
"5062","Frans-Guyana","","",""
"5063","Frans-Somaliland","","19770627",""
"5064","Gilbert- en Ellice-eilanden","","19751001",""
"5065","Groenland","","",""
"5066","Guadeloupe","","",""
"5067","Kaapverdische Eilanden","","19750705","*"
"5068","Macau","","19991220",""
"5069","Martinique","","",""
"5070","Mozambique","19750625","",""
"5071","Pitcairneilanden","","",""
"5072","Guinee-Bissau","","",""
"5073","Réunion","","",""
"5074","Saint Pierre en Miquelon","","",""
"5075","Seychellen en Amiranten","","19910601","*"
"5076","Tonga","","",""
"5077","Wallis en Futuna","","",""
"5078","Zuidwest-Afrika","","19900321",""
"5079","Frans-Indië","","19910601","*"
"5080","Johnston","","",""
"5081","Kedah","","19460401",""
"5082","Kelantan","","19460401",""
"5083","Malakka","","19630916",""
"5084","Mayotte","","",""
"5085","Negri Sembilan","","19460401",""
"5086","Pahang","","19460401",""
"5087","Perak","","19460401",""
"5088","Perlis","","19460401",""
"5089","Portugees-Indië","","19611218",""
"5090","Selangor","","19460401",""
"5091","Sikkim","","19910601","*"
"5092","Saint Vincent en de Grenadines","19791027","",""
"5093","Spitsbergen","","19910601","*"
"5094","Trengganu","","19460401",""
"5095","Aruba","19860101","",""
"5096","Burkina Faso","19840804","",""
"5097","Azerbeidzjan","19911231","",""
"5098","Belarus","19911231","",""
"5099","Kazachstan","19911231","",""
"5100","Macedonië","19930419","20190212",""
"5101","Timor Leste","20020520","",""
"5102","Servië en Montenegro","20030204","20060603",""
"5103","Servië","20060603","",""
"5104","Montenegro","20060603","",""
"5105","Kosovo","20080217","",""
"5106","Bonaire","20101010","",""
"5107","Curaçao","20101010","",""
"5108","Saba","20101010","",""
"5109","Sint Eustatius","20101010","",""
"5110","Sint Maarten","20101010","",""
"5111","Zuid-Soedan","20110709","",""
